VTX, IDX, _input0.x, _input0.y, _input0.z, _input0.w, _input1.x, _input1.y, _input1.z, _input1.w, _input2.x, _input2.y, _input3.x, _input3.y
185, 123, -0.16162,  0.25659, -0.32373,  1.00,  0.81102,  0.19685,  0.55118,  0.00, -0.14294, -0.28955,  0.43994,  0.25415
186, 124,  0.3894, -0.01926,  0.02257,  1.00, -0.69291,  0.16535,  0.70079,  0.00,  0.41602,  0.03348,  0.43896,  0.01
187, 125,  0.42505, -0.01857,  0.05804,  1.00, -0.66929,  0.17323,  0.72441,  0.00,  0.41602,  0.03348,  0.43896,  0.01
188, 126,  0.43579,  0.33057, -0.01367,  1.00, -0.00787,  0.20472,  0.97638,  0.00,  0.41602,  0.03348,  0.43896,  0.32666
189, 126,  0.43579,  0.33057, -0.01367,  1.00, -0.00787,  0.20472,  0.97638,  0.00,  0.41602,  0.03348,  0.43896,  0.32666
190, 125,  0.42505, -0.01857,  0.05804,  1.00, -0.66929,  0.17323,  0.72441,  0.00,  0.41602,  0.03348,  0.43896,  0.01
191, 127,  0.47852,  0.37354, -0.0242,  1.00,  0.03937,  0.19685,  0.97638,  0.00,  0.41602,  0.03348,  0.43896,  0.37842
192, 128, -0.0636, -0.01904, -0.64014,  1.00, -0.77165,  0.15748,  0.61417,  0.00, -0.04535, -0.6333,  0.02809,  0.01
193, 129, -0.03815, -0.01564, -0.60889,  1.00, -0.73228,  0.17323,  0.66142,  0.00, -0.04535, -0.6333,  0.02809,  0.01
194, 130, -0.03418,  0.3042, -0.68701,  1.00,  0.05512,  0.23622,  0.9685,  0.00, -0.04535, -0.6333,  0.02809,  0.30029
195, 130, -0.03418,  0.3042, -0.68701,  1.00,  0.05512,  0.23622,  0.9685,  0.00, -0.04535, -0.6333,  0.02809,  0.30029
196, 129, -0.03815, -0.01564, -0.60889,  1.00, -0.73228,  0.17323,  0.66142,  0.00, -0.04535, -0.6333,  0.02809,  0.01
197, 131,  0.00765,  0.34619, -0.70166,  1.00,  0.09449,  0.23622,  0.9685,  0.00, -0.04535, -0.6333,  0.02809,  0.34814
198, 132, -0.51123,  0.26099,  0.47632,  1.00,  0.59843,  0.09449,  0.79528,  0.00, -0.50,  0.48291,  0.8623,  0.25903
199, 133, -0.50537, -0.09326,  0.49121,  1.00,  0.59843,  0.04724,  0.80315,  0.00, -0.50,  0.48291,  0.8623,  0.01
200, 134, -0.45532,  0.25586,  0.43457,  1.00,  0.59843,  0.10236,  0.79528,  0.00, -0.50,  0.48291,  0.8623,  0.25903
201, 132, -0.51123,  0.26099,  0.47632,  1.00,  0.59843,  0.09449,  0.79528,  0.00, -0.50,  0.48291,  0.8623,  0.25903
202, 134, -0.45532,  0.25586,  0.43457,  1.00,  0.59843,  0.10236,  0.79528,  0.00, -0.50,  0.48291,  0.8623,  0.25903
203, 135, -0.47876,  0.38818,  0.40918,  1.00,  0.59055,  0.25197,  0.76378,  0.00, -0.50,  0.48291,  0.8623,  0.38965
204, 136, -0.2301, -0.02979, -0.00186,  1.00, -0.59843,  0.13386,  0.7874,  0.00, -0.20691, -0.00121,  0.09613,  0.01
205, 137, -0.19678, -0.02823,  0.02316,  1.00, -0.5748,  0.13386,  0.80315,  0.00, -0.20691, -0.00121,  0.09613,  0.01
206, 138, -0.19531,  0.50732, -0.06494,  1.00,  0.20472,  0.15748,  0.9685,  0.00, -0.20691, -0.00121,  0.09613,  0.50146
207, 138, -0.19531,  0.50732, -0.06494,  1.00,  0.20472,  0.15748,  0.9685,  0.00, -0.20691, -0.00121,  0.09613,  0.50146
208, 137, -0.19678, -0.02823,  0.02316,  1.00, -0.5748,  0.13386,  0.80315,  0.00, -0.20691, -0.00121,  0.09613,  0.01
209, 139, -0.15942,  0.57324, -0.08429,  1.00,  0.22835,  0.15748,  0.96063,  0.00, -0.20691, -0.00121,  0.09613,  0.58105
210, 140, -0.11078, -0.01732, -0.07043,  1.00, -0.92913,  0.16535, -0.33858,  0.00, -0.1098, -0.04443,  0.34229,  0.01
211, 141, -0.12598, -0.01723, -0.02869,  1.00, -0.93701,  0.16535, -0.30709,  0.00, -0.1098, -0.04443,  0.34229,  0.01
212, 142, -0.06519,  0.30176, -0.04312,  1.00, -0.92126,  0.18898,  0.34646,  0.00, -0.1098, -0.04443,  0.34229,  0.29858
213, 142, -0.06519,  0.30176, -0.04312,  1.00, -0.92126,  0.18898,  0.34646,  0.00, -0.1098, -0.04443,  0.34229,  0.29858
214, 141, -0.12598, -0.01723, -0.02869,  1.00, -0.93701,  0.16535, -0.30709,  0.00, -0.1098, -0.04443,  0.34229,  0.01
215, 143, -0.04425,  0.34033, -0.01344,  1.00, -0.90551,  0.18898,  0.38583,  0.00, -0.1098, -0.04443,  0.34229,  0.34595
216, 144, -0.00484,  0.36353, -0.44067,  1.00,  0.7874,  0.08661, -0.61417,  0.00, -0.00895, -0.47656,  0.1261,  0.36377
217, 145, -0.00442, -0.13123, -0.48022,  1.00,  0.7874,  0.04724, -0.61417,  0.00, -0.00895, -0.47656,  0.1261,  0.01
218, 146, -0.04318,  0.36401, -0.48975,  1.00,  0.7874,  0.08661, -0.61417,  0.00, -0.00895, -0.47656,  0.1261,  0.36377
219, 144, -0.00484,  0.36353, -0.44067,  1.00,  0.7874,  0.08661, -0.61417,  0.00, -0.00895, -0.47656,  0.1261,  0.36377
220, 146, -0.04318,  0.36401, -0.48975,  1.00,  0.7874,  0.08661, -0.61417,  0.00, -0.00895, -0.47656,  0.1261,  0.36377
221, 147, -0.061,  0.54639, -0.45605,  1.00,  0.77165,  0.18898, -0.6063,  0.00, -0.00895, -0.47656,  0.1261,  0.54688
222, 148,  0.56201, -0.02312,  0.16614,  1.00,  0.90551,  0.14173, -0.40945,  0.00,  0.54004,  0.14392,  0.37769,  0.01
223, 149,  0.53906, -0.02232,  0.11505,  1.00,  0.88976,  0.14173, -0.43307,  0.00,  0.54004,  0.14392,  0.37769,  0.01
224, 150,  0.50586,  0.39746,  0.18359,  1.00,  0.46457,  0.1811, -0.86614,  0.00,  0.54004,  0.14392,  0.37769,  0.39258
225, 150,  0.50586,  0.39746,  0.18359,  1.00,  0.46457,  0.1811, -0.86614,  0.00,  0.54004,  0.14392,  0.37769,  0.39258
226, 149,  0.53906, -0.02232,  0.11505,  1.00,  0.88976,  0.14173, -0.43307,  0.00,  0.54004,  0.14392,  0.37769,  0.01
227, 151,  0.4646,  0.44922,  0.17419,  1.00,  0.43307,  0.1811, -0.88189,  0.00,  0.54004,  0.14392,  0.37769,  0.45483
228, 152, -0.32202,  0.36328,  0.21753,  1.00,  0.07874,  0.13386,  0.98425,  0.00, -0.28052,  0.25293,  0.36035,  0.36572
229, 153, -0.27734, -0.13171,  0.2644,  1.00,  0.07874,  0.10236,  0.99213,  0.00, -0.28052,  0.25293,  0.36035,  0.01
230, 154, -0.25977,  0.36548,  0.21216,  1.00,  0.07874,  0.14173,  0.98425,  0.00, -0.28052,  0.25293,  0.36035,  0.36572
231, 152, -0.32202,  0.36328,  0.21753,  1.00,  0.07874,  0.13386,  0.98425,  0.00, -0.28052,  0.25293,  0.36035,  0.36572
232, 154, -0.25977,  0.36548,  0.21216,  1.00,  0.07874,  0.14173,  0.98425,  0.00, -0.28052,  0.25293,  0.36035,  0.36572
233, 155, -0.2793,  0.54688,  0.16772,  1.00,  0.07874,  0.24409,  0.9685,  0.00, -0.28052,  0.25293,  0.36035,  0.55029
234, 156,  0.47485,  0.36182, -0.43652,  1.00,  0.71654,  0.05512, -0.69291,  0.00,  0.48999, -0.43457,  0.00407,  0.36133
235, 157,  0.50, -0.13, -0.42847,  1.00,  0.72441,  0.02362, -0.69291,  0.00,  0.48999, -0.43457,  0.00407,  0.01
236, 158,  0.43896,  0.35645, -0.47388,  1.00,  0.71654,  0.05512, -0.69291,  0.00,  0.48999, -0.43457,  0.00407,  0.36133
237, 156,  0.47485,  0.36182, -0.43652,  1.00,  0.71654,  0.05512, -0.69291,  0.00,  0.48999, -0.43457,  0.00407,  0.36133
238, 158,  0.43896,  0.35645, -0.47388,  1.00,  0.71654,  0.05512, -0.69291,  0.00,  0.48999, -0.43457,  0.00407,  0.36133
239, 159,  0.41699,  0.53857, -0.45947,  1.00,  0.70866,  0.14173, -0.69291,  0.00,  0.48999, -0.43457,  0.00407,  0.54346
240, 160, -0.2959, -0.02748,  0.62158,  1.00, -0.92126,  0.13386,  0.37008,  0.00, -0.27881,  0.62988,  0.44238,  0.01
241, 161, -0.28149, -0.02609,  0.65674,  1.00, -0.8189,  0.17323,  0.54331,  0.00, -0.27881,  0.62988,  0.44238,  0.01
242, 162, -0.27002,  0.21729,  0.59766,  1.00, -0.40157,  0.24409,  0.88189,  0.00, -0.27881,  0.62988,  0.44238,  0.17444
243, 162, -0.27002,  0.21729,  0.59766,  1.00, -0.40157,  0.24409,  0.88189,  0.00, -0.27881,  0.62988,  0.44238,  0.17444
244, 161, -0.28149, -0.02609,  0.65674,  1.00, -0.8189,  0.17323,  0.54331,  0.00, -0.27881,  0.62988,  0.44238,  0.01
245, 163, -0.18689,  0.33301,  0.60156,  1.00, -0.59843,  0.41732,  0.68504,  0.00, -0.27881,  0.62988,  0.44238,  0.32324
246, 162, -0.27002,  0.21729,  0.59766,  1.00, -0.40157,  0.24409,  0.88189,  0.00, -0.27881,  0.62988,  0.44238,  0.17444
247, 163, -0.18689,  0.33301,  0.60156,  1.00, -0.59843,  0.41732,  0.68504,  0.00, -0.27881,  0.62988,  0.44238,  0.32324
248, 164, -0.15027,  0.44653,  0.55371,  1.00, -0.4252,  0.46457,  0.77165,  0.00, -0.27881,  0.62988,  0.44238,  0.46362
249, 164, -0.15027,  0.44653,  0.55371,  1.00, -0.4252,  0.46457,  0.77165,  0.00, -0.27881,  0.62988,  0.44238,  0.46362
250, 163, -0.18689,  0.33301,  0.60156,  1.00, -0.59843,  0.41732,  0.68504,  0.00, -0.27881,  0.62988,  0.44238,  0.32324
251, 165, -0.09943,  0.49683,  0.54834,  1.00, -0.37795,  0.46457,  0.80315,  0.00, -0.27881,  0.62988,  0.44238,  0.53662
252, 166,  0.271,  0.13818,  0.57178,  1.00,  0.90551,  0.16535, -0.38583,  0.00,  0.27539,  0.55908,  0.4668,  0.13757
253, 167,  0.28223, -0.099,  0.56152,  1.00,  0.92126,  0.06299, -0.37795,  0.00,  0.27539,  0.55908,  0.4668,  0.01
254, 168,  0.25684,  0.13501,  0.53662,  1.00,  0.89764,  0.17323, -0.40945,  0.00,  0.27539,  0.55908,  0.4668,  0.13757
255, 168,  0.25684,  0.13501,  0.53662,  1.00,  0.89764,  0.17323, -0.40945,  0.00,  0.27539,  0.55908,  0.4668,  0.13757
256, 169,  0.2196,  0.27246,  0.57031,  1.00,  0.69291,  0.3937, -0.59843,  0.00,  0.27539,  0.55908,  0.4668,  0.27515
257, 166,  0.271,  0.13818,  0.57178,  1.00,  0.90551,  0.16535, -0.38583,  0.00,  0.27539,  0.55908,  0.4668,  0.13757
258, 169,  0.2196,  0.27246,  0.57031,  1.00,  0.69291,  0.3937, -0.59843,  0.00,  0.27539,  0.55908,  0.4668,  0.27515
259, 168,  0.25684,  0.13501,  0.53662,  1.00,  0.89764,  0.17323, -0.40945,  0.00,  0.27539,  0.55908,  0.4668,  0.13757
260, 170,  0.19153,  0.26245,  0.5332,  1.00,  0.67717,  0.40157, -0.61417,  0.00,  0.27539,  0.55908,  0.4668,  0.27515
261, 169,  0.2196,  0.27246,  0.57031,  1.00,  0.69291,  0.3937, -0.59843,  0.00,  0.27539,  0.55908,  0.4668,  0.27515
262, 170,  0.19153,  0.26245,  0.5332,  1.00,  0.67717,  0.40157, -0.61417,  0.00,  0.27539,  0.55908,  0.4668,  0.27515
263, 171,  0.11951,  0.39038,  0.55078,  1.00,  0.65354,  0.44882, -0.6063,  0.00,  0.27539,  0.55908,  0.4668,  0.4126
264, 172, -0.38281, -0.0354,  0.10168,  1.00,  0.86614,  0.00,  0.49606,  0.00, -0.37476,  0.08783,  0.54443,  0.01
265, 173, -0.36133, -0.03391,  0.06403,  1.00,  0.91339,  0.01575,  0.40945,  0.00, -0.37476,  0.08783,  0.54443,  0.01
266, 174, -0.38965,  0.28345,  0.11469,  1.00,  0.99213,  0.09449, -0.00787,  0.00, -0.37476,  0.08783,  0.54443,  0.22583
267, 174, -0.38965,  0.28345,  0.11469,  1.00,  0.99213,  0.09449, -0.00787,  0.00, -0.37476,  0.08783,  0.54443,  0.22583
268, 173, -0.36133, -0.03391,  0.06403,  1.00,  0.91339,  0.01575,  0.40945,  0.00, -0.37476,  0.08783,  0.54443,  0.01
269, 175, -0.40601,  0.43848,  0.06006,  1.00,  0.95276,  0.18898,  0.22835,  0.00, -0.37476,  0.08783,  0.54443,  0.4187
270, 174, -0.38965,  0.28345,  0.11469,  1.00,  0.99213,  0.09449, -0.00787,  0.00, -0.37476,  0.08783,  0.54443,  0.22583
271, 175, -0.40601,  0.43848,  0.06006,  1.00,  0.95276,  0.18898,  0.22835,  0.00, -0.37476,  0.08783,  0.54443,  0.4187
272, 176, -0.44531,  0.58984,  0.07825,  1.00,  0.9685,  0.24409,  0.06299,  0.00, -0.37476,  0.08783,  0.54443,  0.6001
273, 176, -0.44531,  0.58984,  0.07825,  1.00,  0.9685,  0.24409,  0.06299,  0.00, -0.37476,  0.08783,  0.54443,  0.6001
274, 175, -0.40601,  0.43848,  0.06006,  1.00,  0.95276,  0.18898,  0.22835,  0.00, -0.37476,  0.08783,  0.54443,  0.4187
275, 177, -0.46265,  0.6582,  0.04968,  1.00,  0.9685,  0.25197,  0.01575,  0.00, -0.37476,  0.08783,  0.54443,  0.69434
276, 178, -0.16003,  0.22888,  0.67383,  1.00, -0.74016,  0.07087,  0.66142,  0.00, -0.15845,  0.67529,  0.38843,  0.22754
277, 179, -0.16638, -0.16333,  0.66602,  1.00, -0.75591,  0.00,  0.66142,  0.00, -0.15845,  0.67529,  0.38843,  0.01
278, 180, -0.13049,  0.22266,  0.70752,  1.00, -0.73228,  0.07087,  0.67717,  0.00, -0.15845,  0.67529,  0.38843,  0.22754
279, 180, -0.13049,  0.22266,  0.70752,  1.00, -0.73228,  0.07087,  0.67717,  0.00, -0.15845,  0.67529,  0.38843,  0.22754
280, 181, -0.10687,  0.45117,  0.66895,  1.00, -0.49606,  0.23622,  0.83465,  0.00, -0.15845,  0.67529,  0.38843,  0.45508
281, 178, -0.16003,  0.22888,  0.67383,  1.00, -0.74016,  0.07087,  0.66142,  0.00, -0.15845,  0.67529,  0.38843,  0.22754
282, 181, -0.10687,  0.45117,  0.66895,  1.00, -0.49606,  0.23622,  0.83465,  0.00, -0.15845,  0.67529,  0.38843,  0.45508
283, 180, -0.13049,  0.22266,  0.70752,  1.00, -0.73228,  0.07087,  0.67717,  0.00, -0.15845,  0.67529,  0.38843,  0.22754
284, 182, -0.06229,  0.43408,  0.69922,  1.00, -0.48031,  0.23622,  0.84252,  0.00, -0.15845,  0.67529,  0.38843,  0.45508
285, 181, -0.10687,  0.45117,  0.66895,  1.00, -0.49606,  0.23622,  0.83465,  0.00, -0.15845,  0.67529,  0.38843,  0.45508
286, 182, -0.06229,  0.43408,  0.69922,  1.00, -0.48031,  0.23622,  0.84252,  0.00, -0.15845,  0.67529,  0.38843,  0.45508
287, 183,  0.00416,  0.64697,  0.66455,  1.00, -0.46457,  0.28346,  0.84252,  0.00, -0.15845,  0.67529,  0.38843,  0.68262
288, 184,  0.07208,  0.15515, -0.65332,  1.00, -0.70079,  0.15748, -0.69291,  0.00,  0.05829, -0.65625,  0.59668,  0.15466
289, 185,  0.05875, -0.11115, -0.66699,  1.00, -0.70079,  0.07087, -0.70866,  0.00,  0.05829, -0.65625,  0.59668,  0.01
290, 186,  0.04282,  0.15039, -0.62451,  1.00, -0.71654,  0.15748, -0.67717,  0.00,  0.05829, -0.65625,  0.59668,  0.15466
291, 186,  0.04282,  0.15039, -0.62451,  1.00, -0.71654,  0.15748, -0.67717,  0.00,  0.05829, -0.65625,  0.59668,  0.15466
292, 187,  0.08954,  0.3042, -0.60791,  1.00, -0.8189,  0.35433, -0.44882,  0.00,  0.05829, -0.65625,  0.59668,  0.30933
293, 184,  0.07208,  0.15515, -0.65332,  1.00, -0.70079,  0.15748, -0.69291,  0.00,  0.05829, -0.65625,  0.59668,  0.15466
294, 187,  0.08954,  0.3042, -0.60791,  1.00, -0.8189,  0.35433, -0.44882,  0.00,  0.05829, -0.65625,  0.59668,  0.30933
295, 186,  0.04282,  0.15039, -0.62451,  1.00, -0.71654,  0.15748, -0.67717,  0.00,  0.05829, -0.65625,  0.59668,  0.15466
296, 188,  0.06335,  0.2915, -0.56787,  1.00, -0.82677,  0.35433, -0.43307,  0.00,  0.05829, -0.65625,  0.59668,  0.30933
297, 187,  0.08954,  0.3042, -0.60791,  1.00, -0.8189,  0.35433, -0.44882,  0.00,  0.05829, -0.65625,  0.59668,  0.30933
298, 188,  0.06335,  0.2915, -0.56787,  1.00, -0.82677,  0.35433, -0.43307,  0.00,  0.05829, -0.65625,  0.59668,  0.30933
299, 189,  0.10706,  0.43311, -0.5166,  1.00, -0.8189,  0.40157, -0.40945,  0.00,  0.05829, -0.65625,  0.59668,  0.46387
300, 190,  0.09082, -0.03308,  0.26294,  1.00, -0.26772,  0.01575,  0.96063,  0.00,  0.1051,  0.26563,  0.75879,  0.01
301, 191,  0.12585, -0.03226,  0.27271,  1.00, -0.16535,  0.0315,  0.98425,  0.00,  0.1051,  0.26563,  0.75879,  0.01
302, 192,  0.0824,  0.26733,  0.25684,  1.00,  0.33071,  0.10236,  0.93701,  0.00,  0.1051,  0.26563,  0.75879,  0.21277
303, 192,  0.0824,  0.26733,  0.25684,  1.00,  0.33071,  0.10236,  0.93701,  0.00,  0.1051,  0.26563,  0.75879,  0.21277
304, 191,  0.12585, -0.03226,  0.27271,  1.00, -0.16535,  0.0315,  0.98425,  0.00,  0.1051,  0.26563,  0.75879,  0.01
305, 193,  0.1272,  0.4126,  0.22412,  1.00,  0.05512,  0.20472,  0.97638,  0.00,  0.1051,  0.26563,  0.75879,  0.39429
306, 192,  0.0824,  0.26733,  0.25684,  1.00,  0.33071,  0.10236,  0.93701,  0.00,  0.1051,  0.26563,  0.75879,  0.21277
307, 193,  0.1272,  0.4126,  0.22412,  1.00,  0.05512,  0.20472,  0.97638,  0.00,  0.1051,  0.26563,  0.75879,  0.39429
308, 194,  0.1073,  0.55518,  0.19031,  1.00,  0.25197,  0.25984,  0.92913,  0.00,  0.1051,  0.26563,  0.75879,  0.56543
309, 194,  0.1073,  0.55518,  0.19031,  1.00,  0.25197,  0.25984,  0.92913,  0.00,  0.1051,  0.26563,  0.75879,  0.56543
310, 193,  0.1272,  0.4126,  0.22412,  1.00,  0.05512,  0.20472,  0.97638,  0.00,  0.1051,  0.26563,  0.75879,  0.39429
311, 195,  0.12915,  0.61963,  0.16516,  1.00,  0.29921,  0.25984,  0.92126,  0.00,  0.1051,  0.26563,  0.75879,  0.6543
312, 196,  0.06451, -0.03525,  0.10101,  1.00, -0.37008, -0.04724,  0.92913,  0.00,  0.07581,  0.11212,  0.15076,  0.01
313, 197,  0.10474, -0.03323,  0.11707,  1.00, -0.26772, -0.0315,  0.96063,  0.00,  0.07581,  0.11212,  0.15076,  0.01
314, 198,  0.04132,  0.28076,  0.10901,  1.00,  0.18898,  0.07087,  0.97638,  0.00,  0.07581,  0.11212,  0.15076,  0.22424
315, 198,  0.04132,  0.28076,  0.10901,  1.00,  0.18898,  0.07087,  0.97638,  0.00,  0.07581,  0.11212,  0.15076,  0.22424
316, 197,  0.10474, -0.03323,  0.11707,  1.00, -0.26772, -0.0315,  0.96063,  0.00,  0.07581,  0.11212,  0.15076,  0.01
317, 199,  0.09045,  0.43823,  0.08673,  1.00, -0.07087,  0.16535,  0.98425,  0.00,  0.07581,  0.11212,  0.15076,  0.41577
318, 198,  0.04132,  0.28076,  0.10901,  1.00,  0.18898,  0.07087,  0.97638,  0.00,  0.07581,  0.11212,  0.15076,  0.22424
319, 199,  0.09045,  0.43823,  0.08673,  1.00, -0.07087,  0.16535,  0.98425,  0.00,  0.07581,  0.11212,  0.15076,  0.41577
320, 200,  0.06372,  0.58936,  0.05362,  1.00,  0.11024,  0.22835,  0.9685,  0.00,  0.07581,  0.11212,  0.15076,  0.59619
321, 200,  0.06372,  0.58936,  0.05362,  1.00,  0.11024,  0.22835,  0.9685,  0.00,  0.07581,  0.11212,  0.15076,  0.59619
322, 199,  0.09045,  0.43823,  0.08673,  1.00, -0.07087,  0.16535,  0.98425,  0.00,  0.07581,  0.11212,  0.15076,  0.41577
323, 201,  0.08887,  0.66016,  0.03204,  1.00,  0.15748,  0.23622,  0.96063,  0.00,  0.07581,  0.11212,  0.15076,  0.68994
324, 202, -0.25439,  0.27441, -0.31079,  1.00,  0.5748,  0.00787, -0.8189,  0.00, -0.2854, -0.31519,  0.61816,  0.27417
325, 203, -0.29028, -0.19678, -0.30835,  1.00,  0.58268, -0.04724, -0.81102,  0.00, -0.2854, -0.31519,  0.61816,  0.01
326, 204, -0.29932,  0.271, -0.34253,  1.00,  0.56693,  0.00, -0.82677,  0.00, -0.2854, -0.31519,  0.61816,  0.27417
327, 204, -0.29932,  0.271, -0.34253,  1.00,  0.56693,  0.00, -0.82677,  0.00, -0.2854, -0.31519,  0.61816,  0.27417
328, 205, -0.27246,  0.54395, -0.29492,  1.00,  0.37795,  0.15748, -0.91339,  0.00, -0.2854, -0.31519,  0.61816,  0.54834
329, 202, -0.25439,  0.27441, -0.31079,  1.00,  0.5748,  0.00787, -0.8189,  0.00, -0.2854, -0.31519,  0.61816,  0.27417
330, 205, -0.27246,  0.54395, -0.29492,  1.00,  0.37795,  0.15748, -0.91339,  0.00, -0.2854, -0.31519,  0.61816,  0.54834
331, 204, -0.29932,  0.271, -0.34253,  1.00,  0.56693,  0.00, -0.82677,  0.00, -0.2854, -0.31519,  0.61816,  0.27417
332, 206, -0.32983,  0.52832, -0.3208,  1.00,  0.37008,  0.14961, -0.91339,  0.00, -0.2854, -0.31519,  0.61816,  0.54834
333, 205, -0.27246,  0.54395, -0.29492,  1.00,  0.37795,  0.15748, -0.91339,  0.00, -0.2854, -0.31519,  0.61816,  0.54834
334, 206, -0.32983,  0.52832, -0.3208,  1.00,  0.37008,  0.14961, -0.91339,  0.00, -0.2854, -0.31519,  0.61816,  0.54834
335, 207, -0.34448,  0.78564, -0.27148,  1.00,  0.3622,  0.19685, -0.91339,  0.00, -0.2854, -0.31519,  0.61816,  0.82275
336, 208, -0.31177, -0.02521,  0.34985,  1.00,  0.08661,  0.02362, -1.00,  0.00, -0.32959,  0.35034,  0.82813,  0.01
337, 209, -0.35327, -0.02443,  0.34644,  1.00, -0.10236,  0.06299, -0.99213,  0.00, -0.32959,  0.35034,  0.82813,  0.01
338, 210, -0.30444,  0.20435,  0.35547,  1.00, -0.55118,  0.16535, -0.8189,  0.00, -0.32959,  0.35034,  0.82813,  0.16199
339, 210, -0.30444,  0.20435,  0.35547,  1.00, -0.55118,  0.16535, -0.8189,  0.00, -0.32959,  0.35034,  0.82813,  0.16199
340, 209, -0.35327, -0.02443,  0.34644,  1.00, -0.10236,  0.06299, -0.99213,  0.00, -0.32959,  0.35034,  0.82813,  0.01
341, 211, -0.3501,  0.31885,  0.41162,  1.00, -0.30709,  0.32283, -0.89764,  0.00, -0.32959,  0.35034,  0.82813,  0.30029
342, 210, -0.30444,  0.20435,  0.35547,  1.00, -0.55118,  0.16535, -0.8189,  0.00, -0.32959,  0.35034,  0.82813,  0.16199
343, 211, -0.3501,  0.31885,  0.41162,  1.00, -0.30709,  0.32283, -0.89764,  0.00, -0.32959,  0.35034,  0.82813,  0.30029
344, 212, -0.32251,  0.42969,  0.45166,  1.00, -0.44094,  0.40157, -0.80315,  0.00, -0.32959,  0.35034,  0.82813,  0.43042
345, 212, -0.32251,  0.42969,  0.45166,  1.00, -0.44094,  0.40157, -0.80315,  0.00, -0.32959,  0.35034,  0.82813,  0.43042
346, 211, -0.3501,  0.31885,  0.41162,  1.00, -0.30709,  0.32283, -0.89764,  0.00, -0.32959,  0.35034,  0.82813,  0.30029
347, 213, -0.34277,  0.4812,  0.49146,  1.00, -0.49606,  0.40157, -0.77165,  0.00, -0.32959,  0.35034,  0.82813,  0.49805
348, 214, -0.59521,  0.26807,  0.10925,  1.00,  0.50394,  0.16535, -0.85039,  0.00, -0.59766,  0.06934,  0.15015,  0.27051
349, 215, -0.5874, -0.19421,  0.05228,  1.00,  0.51181,  0.11024, -0.85039,  0.00, -0.59766,  0.06934,  0.15015,  0.01
350, 216, -0.63281,  0.26465,  0.08624,  1.00,  0.48819,  0.16535, -0.85827,  0.00, -0.59766,  0.06934,  0.15015,  0.27051
351, 216, -0.63281,  0.26465,  0.08624,  1.00,  0.48819,  0.16535, -0.85827,  0.00, -0.59766,  0.06934,  0.15015,  0.27051
352, 217, -0.63428,  0.52686,  0.16113,  1.00,  0.25197,  0.29921, -0.92126,  0.00, -0.59766,  0.06934,  0.15015,  0.54102
353, 214, -0.59521,  0.26807,  0.10925,  1.00,  0.50394,  0.16535, -0.85039,  0.00, -0.59766,  0.06934,  0.15015,  0.27051
354, 217, -0.63428,  0.52686,  0.16113,  1.00,  0.25197,  0.29921, -0.92126,  0.00, -0.59766,  0.06934,  0.15015,  0.54102
355, 216, -0.63281,  0.26465,  0.08624,  1.00,  0.48819,  0.16535, -0.85827,  0.00, -0.59766,  0.06934,  0.15015,  0.27051
356, 218, -0.68262,  0.50977,  0.14294,  1.00,  0.24409,  0.29134, -0.92126,  0.00, -0.59766,  0.06934,  0.15015,  0.54102
357, 217, -0.63428,  0.52686,  0.16113,  1.00,  0.25197,  0.29921, -0.92126,  0.00, -0.59766,  0.06934,  0.15015,  0.54102
358, 218, -0.68262,  0.50977,  0.14294,  1.00,  0.24409,  0.29134, -0.92126,  0.00, -0.59766,  0.06934,  0.15015,  0.54102
359, 219, -0.71924,  0.75244,  0.2218,  1.00,  0.22835,  0.33071, -0.91339,  0.00, -0.59766,  0.06934,  0.15015,  0.81152
360, 220,  0.43433,  0.23169,  0.13062,  1.00, -0.22835,  0.06299,  0.9685,  0.00,  0.44458,  0.1333,  0.7417,  0.23096
361, 221,  0.44043, -0.16614,  0.13232,  1.00, -0.23622,  0.00,  0.9685,  0.00,  0.44458,  0.1333,  0.7417,  0.01
362, 222,  0.46948,  0.22778,  0.13916,  1.00, -0.2126,  0.06299,  0.97638,  0.00,  0.44458,  0.1333,  0.7417,  0.23096
363, 222,  0.46948,  0.22778,  0.13916,  1.00, -0.2126,  0.06299,  0.97638,  0.00,  0.44458,  0.1333,  0.7417,  0.23096
364, 223,  0.46191,  0.45801,  0.09857,  1.00,  0.08661,  0.2126,  0.97638,  0.00,  0.44458,  0.1333,  0.7417,  0.46191
365, 220,  0.43433,  0.23169,  0.13062,  1.00, -0.22835,  0.06299,  0.9685,  0.00,  0.44458,  0.1333,  0.7417,  0.23096
366, 223,  0.46191,  0.45801,  0.09857,  1.00,  0.08661,  0.2126,  0.97638,  0.00,  0.44458,  0.1333,  0.7417,  0.46191
367, 222,  0.46948,  0.22778,  0.13916,  1.00, -0.2126,  0.06299,  0.97638,  0.00,  0.44458,  0.1333,  0.7417,  0.23096
368, 224,  0.50684,  0.44336,  0.09735,  1.00,  0.09449,  0.2126,  0.97638,  0.00,  0.44458,  0.1333,  0.7417,  0.46191
369, 223,  0.46191,  0.45801,  0.09857,  1.00,  0.08661,  0.2126,  0.97638,  0.00,  0.44458,  0.1333,  0.7417,  0.46191
370, 224,  0.50684,  0.44336,  0.09735,  1.00,  0.09449,  0.2126,  0.97638,  0.00,  0.44458,  0.1333,  0.7417,  0.46191
